sembrada,cosechada,siniestrada,volumenproduccion,latitud,longitud,altitud,cicloproductivo_Otoño-Invierno,cicloproductivo_Perennes,cicloproductivo_Primavera-Verano,modalidad_Riego,modalidad_Temporal,cultivo_Avena forrajera en verde,cultivo_Frijol,cultivo_Maíz grano,cultivo_Pastos y praderas,cultivo_Tomate rojo (jitomate),K=8 Cluster Labels,rendimiento,estado
8295.0,8295.0,0.0,21981.75,16.809909,-98.301749,401.0,0,0,1,0,1,0,0,1,0,0,2,2.65,Guerrero
4310.0,4310.0,0.0,24062.16,19.470014000000003,-99.594906,2685.0,0,0,1,1,0,0,0,1,0,0,2,5.58,México
2365.0,2365.0,0.0,24191.0,20.273115,-102.473646,1531.0,0,0,1,1,0,0,0,1,0,0,2,10.23,Michoacán
8120.0,8050.0,70.0,21343.65,18.448668,-95.212571,299.0,0,0,1,0,1,0,0,1,0,0,2,2.65,Veracruz
2780.0,2780.0,0.0,92296.0,18.447449,-96.360315,58.0,0,1,0,1,0,0,0,0,1,0,6,33.2,Veracruz
6354.0,6354.0,0.0,184964.94,16.482804,-94.353903,61.0,0,1,0,0,1,0,0,0,1,0,6,29.11,Oaxaca
8972.0,8972.0,0.0,24314.12,20.4509,-101.528361,1709.0,0,0,1,0,1,0,0,1,0,0,2,2.71,Guanajuato
2960.0,2960.0,0.0,22370.0,20.79,-104.1975,1377.0,0,0,1,0,1,0,0,1,0,0,2,7.56,Jalisco
3205.0,3205.0,0.0,26601.5,20.484868,-99.218774,1682.0,0,0,1,1,0,0,0,1,0,0,2,8.3,Hidalgo
4105.0,4105.0,0.0,23279.0,21.333189,-104.587207,1163.0,0,0,1,0,1,0,0,1,0,0,2,5.67,Nayarit
4500.0,4480.0,20.0,21952.0,18.027514,-95.527628,76.0,1,0,0,0,1,0,0,1,0,0,3,4.9,Veracruz
6515.0,6515.0,0.0,25284.63,19.676389,-103.25,1117.0,0,0,1,0,1,0,0,1,0,0,2,3.88,Jalisco
2343.0,2343.0,0.0,23430.0,25.36436,-108.159489,25.0,0,0,1,1,0,0,0,1,0,0,7,10.0,Sinaloa
2325.0,2325.0,0.0,23808.0,21.808336,-105.206044,14.0,1,0,0,1,0,0,0,1,0,0,7,10.24,Nayarit
5946.45,5946.45,0.0,17542.03,17.566724,-99.398271,1284.0,0,0,1,0,1,0,0,1,0,0,2,2.95,Guerrero
10835.0,10825.0,10.0,6454.95,23.731111,-103.987778,1921.0,0,0,1,0,1,0,1,0,0,0,1,0.6,Durango
16875.0,16875.0,0.0,6581.25,24.792509,-104.034267,1677.0,0,0,1,0,1,0,1,0,0,0,1,0.39,Durango
5370.0,5370.0,0.0,19550.5,19.308533,-100.144161,2196.0,0,0,1,0,1,0,0,1,0,0,2,3.64,México
8673.95,8400.86,273.09,25958.66,18.161267,-100.390821,295.0,0,0,1,0,1,0,0,1,0,0,2,3.09,Guerrero
142.0,142.0,0.0,15148.65,19.7475,-103.765278,1260.0,0,0,1,1,0,0,0,0,0,1,4,106.68,Jalisco
8023.0,8023.0,0.0,23266.7,20.672801,-101.348117,1715.0,0,0,1,0,1,0,0,1,0,0,2,2.9,Guanajuato
4442.25,4442.25,0.0,21099.41,20.099386,-99.827991,2428.0,0,0,1,1,0,0,0,1,0,0,2,4.75,México
8342.0,8342.0,0.0,21188.68,19.614889,-98.119201,2546.0,0,0,1,0,1,0,0,1,0,0,2,2.54,Tlaxcala
15776.7,14363.7,0.0,214737.32,27.240647,-100.132436,196.0,0,1,0,0,1,0,0,0,1,0,6,14.95,Nuevo León
5376.88,5376.88,0.0,142306.85,24.060837,-98.374279,70.0,0,1,0,1,0,0,0,0,1,0,6,26.47,Tamaulipas
1990.0,1990.0,0.0,22025.5,24.808808,-107.393756,57.0,1,0,0,1,0,0,0,1,0,0,7,11.07,Sinaloa
3250.0,3250.0,0.0,23075.0,19.956229,-99.844032,2564.0,0,0,1,1,0,0,0,1,0,0,2,7.1,México
15500.0,15500.0,0.0,17406.34,19.418438,-88.82915600000001,69.0,0,0,1,0,1,0,0,1,0,0,2,1.12,Quintana Roo
6837.0,6837.0,0.0,21536.55,18.734231,-102.78838,920.0,0,0,1,0,1,0,0,1,0,0,2,3.15,Michoacán
50.0,50.0,0.0,10932.5,19.771389000000003,-104.365278,920.0,1,0,0,1,0,0,0,0,0,1,4,218.65,Jalisco
15870.0,15870.0,0.0,20631.0,17.105491,-92.271528,869.0,0,0,1,0,1,0,0,1,0,0,2,1.3,Chiapas
6345.36,6345.36,0.0,16751.75,17.653197,-99.525937,1041.0,0,0,1,0,1,0,0,1,0,0,2,2.64,Guerrero
4510.0,4492.0,18.0,20124.16,18.075635,-95.707965,18.0,1,0,0,0,1,0,0,1,0,0,3,4.48,Veracruz
7460.0,7460.0,0.0,102567.54,21.151841,-88.938634,8.0,0,1,0,0,1,0,0,0,1,0,6,13.75,Yucatán
4145.25,4090.25,55.0,20029.24,19.952834,-99.532829,2453.0,0,0,1,1,0,0,0,1,0,0,2,4.9,México
444.0,444.0,0.0,17597.74,24.808808,-107.393756,57.0,1,0,0,1,0,0,0,0,0,1,7,39.63,Sinaloa
6580.0,6540.0,40.0,20601.0,18.777099,-103.159555,1020.0,0,0,1,0,1,0,0,1,0,0,2,3.15,Michoacán
4121.0,2859.0,1262.0,4449.39,21.23753,-104.900597,846.0,1,0,0,1,0,0,1,0,0,0,3,1.56,Nayarit
3475.0,3475.0,0.0,22638.5,19.922266,-101.749293,2018.0,0,0,1,1,0,0,0,1,0,0,2,6.51,Michoacán
2930.0,2930.0,0.0,24026.0,20.409971,-99.349589,1870.0,0,0,1,1,0,0,0,1,0,0,2,8.2,Hidalgo
10814.0,10814.0,0.0,21996.8,20.391322,-101.18143,1726.0,0,0,1,0,1,0,0,1,0,0,2,2.03,Guanajuato
204.0,204.0,0.0,11239.99,16.119059,-92.050469,1553.0,0,0,1,1,0,0,0,0,0,1,4,55.1,Chiapas
10974.0,10974.0,0.0,5267.52,24.888313,-105.074205,1991.0,0,0,1,0,1,0,1,0,0,0,1,0.48,Durango
6020.0,6020.0,0.0,22963.13,20.371226,-90.05073900000001,13.0,0,0,1,0,1,0,0,1,0,0,2,3.81,Campeche
5701.0,5490.0,211.0,18940.5,17.169004,-99.522047,292.0,0,0,1,0,1,0,0,1,0,0,2,3.45,Guerrero
198.0,198.0,0.0,8118.0,22.272187,-101.986564,2029.0,0,0,1,1,0,0,0,0,0,1,4,41.0,Zacatecas
483.0,480.0,3.0,10800.0,18.734231,-102.78838,920.0,0,0,1,1,0,0,0,0,0,1,4,22.5,Michoacán
